,Event,,,,
,Total Excl.VAT,,,"  580 631,22 € ",
,,,,,
,Category,Qty,Unit Price (Excl.VAT),Total Price (Excl.VAT),Comments
1,Venue,,,"  343 826,28 € ",
,"Hotel Rooms 
04/01 - 08/01 Single Rooms",1500,"  129,03 € ","  193 545,00 € ","Essential rooms
Breakfast included"
,Resilience tax for climate change,1500,"  4,00 € ","  6 000,00 € ",
,"Day 1 
Plenary Room -  rental fees 
complimentary",,  -   € ,  -   € ,Set-up and installation
,"Day 2 to Day 5
Delegates Day Rates",1200,"  102,17 € ","  122 604,00 € ","Rental of the main meeting room
Morning Coffee break with cookies and cupcakes
Business lunch buffet with refreshments
Afternoon coffee break with Greek and French pastries
Flip chart, pad, pencil, mint, mineral water"
,"Day 2 to Day 5
Break out Rooms - 50 pax",1,"  13 548,32 € ","  13 548,32 € ","Vergina
Ilissos
Horizon
Athens View"
,"Day 2 to Day 5
Break out Rooms - 50 pax",1,"  6 096,72 € ","  6 096,72 € ","Pella
Mycenae"
,"Day 2 to Day 5
Boardroom - 6 pax",1,"  2 032,24 € ","  2 032,24 € ",Lobby suite
,,,,  -   € ,
,,,,  -   € ,
,,,,  -   € ,
,,,,  -   € ,
,,,,  -   € ,
2,Food & beverages,,,"  84 891,00 € ",
,"Day 1 
Dinner including drinks",300,"  75,93 € ","  22 779,00 € ","Dinner for 300 people in the Ilissos room
3-course menu 
Still waters, sparkling water and hot drinks
Wines: Selection of White and Red Wine
Beer: Assorted local and international beers"
,"Day 2
Dinner including drinks",300,"  75,93 € ","  22 779,00 € ","Dinner for 300 people in the Ilissos room
3-course menu 
Still waters, sparkling water and hot drinks
Wines: Selection of White and Red Wine
Beer: Assorted local and international beers"
,"Gala evening - Ble Pavillon - Option 1
Menu Option A",300,"  93,50 € ","  28 050,00 € ","Appetizer & Canapé
Starter
Main dish
Dessert
Mignardises
Coffee"
,"Gala evening - Ble Pavillon - Option 1
Menu Option B
Quantity: 300",,"  99,00 € ",  -   € ,"Appetizer & Canapé
Starter
Main dish
Dessert
Mignardises
Coffe"
,F&B - Beverage package,300,"  11,00 € ","  3 300,00 € ","Welcome drink & open Bar with
wine, beer, soft drinks and water
during the meal"
