,Event,,,,
,Total Excl.VAT,,,"  487 354,88 € ",
,,,,,
,Category,Qty,Unit Price (Excl.VAT),Total Price (Excl.VAT),Comments
1,Venue,,,"  308 420,40 € ",
,"Hotel Rooms 
04/01 - 08/01 Single Rooms",1500,"  144,86 € ","  217 290,00 € ","Superior room
Breakfast included"
,Eco Tax ,1500,"  1,50 € ","  2 250,00 € ",
,"Day 1
Plenary Room rental fees",1,"  1 334,75 € ","  1 334,75 € ",Set-up and installation
,"Day 2 to Day 5
Delegates Day Rates",1200,"  66,74 € ","  80 088,00 € ","DDR Package Full day including a plenary room, a mid-morning coffee break, buffet lunch, mid-afternoon coffee break, notepads, pens and mint candy, water in the main meeting room.
"
,"Day 2 to Day 5
Breakout Rooms - 2nd floor",1,"  1 779,68 € ","  1 779,68 € ","3 breakout rooms
Jupiter
Saturn 1 & Saturn 2"
,"Day 2 to Day 5
Breakout Rooms - 7th floor",1,"  2 135,60 € ","  2 135,60 € ","3 breakout rooms
Palm Suite 1, 2 & 3"
,Complimentary Breakoutroom - 5th floor ,0,  -   € ,  -   € ,"Offered 
Boardmeeting - 6 pax room"
,"Gala Evening Venue - Montekristo Estate - Option 1
Room rental",1,"  3 542,37 € ","  3 542,37 € ",The Renaissance Hall
,"Gala Evening Venue - La Valette Hall - Option 2
Room rental",,"  4 070,00 € ",  -   € ,
,,,,  -   € ,
,,,,  -   € ,
,,,,  -   € ,
2,Food & beverages,,,"  56 850,00 € ",
,"Day 1
Welcome reception",300,"  29,66 € ","  8 898,00 € ","You will discover a variety of culinary stations carefully prepared by chefs, featuring a mix of live cooking and buffets highlighting fresh products."
,"Day 1
Beverage package",300,"  16,91 € ","  5 073,00 € ","House Wine Beverage Vinge Verdi Package 
1⁄2 bottle of House White wine & House Red wine
1⁄2 bottle of local still or sparkling water
Coffee"
,"Day 2
Dinner set Menu I ",300,"  40,25 € ","  12 075,00 € ","3 courses menu
1 starter
1 main course
1 dessert"
,"Day 2
Beverage package",300,"  16,91 € ","  5 073,00 € ","Local Classic Wine Package
1⁄2 Chardonnay, Moscato, Girgentina White
1⁄2 Gellewza, Merlot Red
1⁄2 bottle of local still or sparkling water
Coffee"
,"Gala Evening - Montekristo - Option 1
F&B - 4 courses Gala Menu",300,"  69,92 € ","  20 976,00 € ","1 starter - amuse bouche
3 courses
1 dessert
Wine (White & Red)"
,F&B - Welcome drink Prosecco,300,"  4,66 € ","  1 398,00 € ",
,F&B - 4h Open Bar,300,"  11,19 € ","  3 357,00 € ","MK Wine, MK beer, MK soft drinks and water"
,"Gala Evening - La Valette HALL - Option 2
Quantity: 300",,"  68,05 € ",  -   € ,"1 starter
1 main course
1 dessert "
,"F&B - Welcome drink Prosecco
Quantity: 300",,"  13,31 € ",  -   € ,
,"F&B - Beverages Local wine Package
Quantity: 300",,"  11,88 € ",  -   € ,
,"F&B - 2h Open Bar
Quantity: 300",,"  8,14 € ",  -   € ,
,,,,  -   € ,
3,Tech & Staff,,,"  40 226,25 € ",
,Technical production - Plenary Room & Breakout Rooms,1,"  19 065,00 € ","  19 065,00 € ","Plenary room
Breakout rooms
Kick-Off"
,Scenography - Plenary Room,1,"  7 796,25 € ","  7 796,25 € ",Panelled Shard Backdrop + Logo signage
,Interpretation via IA - Acolad. - Option 1,1,"  2 629,00 € ","  2 629,00 € ",
,Interpretation via remote interpreter - Acolad. - Option 2,,"  4 829,00 € ",  -   € ,
,"Gala Evening - Montekristo - Option 1
Staff - Hostess & Security officer",1,"  1 072,50 € ","  1 072,50 € ","3 security officers - 6 hours
6 hostesses - 6 hours"
,Technique + DJ,1,"  8 211,50 € ","  8 211,50 € ","Awards ceremony technique 
Stage, Video, sound, light"
,"Gala Evening - La Valette HALL - Option 2
Technical Support",,"  550,00 € ",  -   € ,Ambience Lighting
,Technique + DJ,,"  12 685,00 € ",  -   € ,"Awards ceremony technique 
Stage, Video, sound, light"
,Staff - Hostess,,"  396,00 € ",  -   € ,Cloakroom Atendants : 4 hostess
,Staff - Security ,,"  247,50 € ",  -   € ,3 Security officer - 6 hours
,Photographer & Videographer,1,"  1 452,00 € ","  1 452,00 € ","Photo & Video Coverage by 1 photographer & Videographer
Delivery of 2-3 min clip"
,,,,  -   € ,
4,Scenography / Stands / Furniture,,,"  1 512,50 € ",
,Photocall in the hotel,1,"  396,00 € ","  396,00 € ","3mx2m"
,Signage,1,"  720,50 € ","  720,50 € ","10 posters A1
2 Roll ups"
,"Gala evening 
Photocall",1,"  396,00 € ","  396,00 € ",3mx2m
,"Gala evening - La Valette Hall - Option 2
Red curtain - option",,"  600,00 € ",  -   € ,
,,,,  -   € ,
,,,,  -   € ,
,,,,  -   € ,
,,,,  -   € ,
5,Project team,,,"  19 876,00 € ",
,Logistical Support: rooming list & transport flows planning,,"  1 800,00 € ",  -   € ,
,4 weevers on site ,1,"  16 400,00 € ","  16 400,00 € ","Day 1 :
- package day + night x 2 weevers (900)
- package day x 2 weevers (600)
Day 2 :
- package day + night x 2 weevers (900)
- package day x 2 weevers (600)
Day 3 & 4 :
- package day x 4 weevers (600)
Day 5 :
- package day + night after midnight x 2 weevers (1200)
- package day + night x 2 weevers (900)
Day 6 :
- package half day x 4 weevers (350)"
,"VHR 
Catering 
2 twin rooms
Flights",1,"  3 446,00 € ","  3 446,00 € ",
,Eco Tax,20,"  1,50 € ","  30,00 € ",
,"Carbon footprint calculation
Solution + 2 days of man-hours",,"  3 000,00 € ",  -   € ,"An event’s carbon footprint assessment aims to evaluate and report on its environmental impact in terms of greenhouse gas emissions, and to take steps to mitigate this impact.
Our solution We work with a trusted partner specialising in event carbon assessments. They provide us with a user-friendly interface to consolidate the carbon footprint of an event. We can enter all the information relating to the energy consumption of all stakeholders involved in your seminar (agency, suppliers, participants, etc.)"
,,,,  -   € ,
,,,,  -   € ,
,,,,  -   € ,
,,,,  -   € ,
,,,,  -   € ,
6,Other,,,"  12 598,95 € ",
,"Airport Transfers - Option 
Quantity : 2",,"  2 442,00 € ",  -   € ,"Rotation
25 vans x 6 pers
10 vans x 15 pers"
,"Airport Transfers - Host at the Airport - Option
Quantity : 1",,"  180,00 € ",  -   € ,Host/hostess for 3 hours
,Goodies - Calendar to plant,1,"  1 080,00 € ","  1 080,00 € ","Seed-embedded paper
Plantable calendar – 13 seeds
13 A6 seed-embedded sheets, perforated, raffia binding.
Customised printing"
,"Gala evening
Transport to and from your hotel to your gala venue - Option 1",1,"  2 000,00 € ","  2 000,00 € ",6 bus x 53 seats
,"Gala evening 
Animation - Welcome Knighting theme",1,"  918,50 € ","  918,50 € ","1 hour 
6 artists"
,Animation - Maltese Folklore Dancers,1,"  390,50 € ","  390,50 € ",15 minutes show
,Photobooth - Vintage Retro Booth ,1,"  764,50 € ","  764,50 € ",
,15 Customized awards,15,"  31,08 € ","  466,20 € ",
,"Team Building
From Exploration to impact - Option 1
Build a Hamper - Option 1",1,"  6 740,00 € ","  6 740,00 € ",
,"Team Building
Outdoor Living - SBS Studios - The Road to Blockbuster Success - Option 2",,"  26 812,50 € ",  -   € ,
,Transport to Mdina - TB Option 2,,"  2 000,00 € ",  -   € ,
,"Team Building
Gift for the winning team: Pack Extra virgin Olive oil and
vinegar",15,"  15,95 € ","  239,25 € ","delivery fee not included
This souvenir pack includes a taste of Maltese extra virgin olive
oil, 2 invoiced oils and an infused vinegar"
,Mosaic Photo - Option,,"  1 000,00 € ",  -   € ,
,,,,  -   € ,
7,Fees and agency charges (if applicable),,,"  47 870,78 € ",
,Agency fees 12%,1,"  47 870,78 € ","  47 870,78 € ",
,,,,  -   € ,
,,,,  -   € ,
,,,,  -   € ,
,,,,  -   € ,
,,,,  -   € ,
